epoch,learning_rate,loss,mae,val_loss,val_mae
0,0.0010000000474974513,1.189456582069397,0.7361813187599182,0.03778980299830437,0.14921143651008606
1,0.0010000000474974513,0.49290478229522705,0.5569116473197937,0.0243625920265913,0.12023469060659409
2,0.0010000000474974513,0.37306633591651917,0.48295190930366516,0.041073329746723175,0.16652563214302063
3,0.0010000000474974513,0.301332950592041,0.43368178606033325,0.022510601207613945,0.11615192890167236
4,0.0010000000474974513,0.2552013099193573,0.3981955647468567,0.023509906604886055,0.12087700515985489
5,0.0010000000474974513,0.20909865200519562,0.3593582510948181,0.028667185455560684,0.13695871829986572
6,0.0010000000474974513,0.16627876460552216,0.31912630796432495,0.019154377281665802,0.10547732561826706
7,0.0010000000474974513,0.12887176871299744,0.27936801314353943,0.019523004069924355,0.10751356929540634
8,0.0010000000474974513,0.09755029529333115,0.24086952209472656,0.0231541246175766,0.11721985042095184
9,0.0010000000474974513,0.07235173881053925,0.2046450823545456,0.022252902388572693,0.11717923730611801
10,0.0010000000474974513,0.05257676541805267,0.17128369212150574,0.01906490884721279,0.10261374711990356
11,0.0010000000474974513,0.03861835598945618,0.1428470015525818,0.020465796813368797,0.10773909091949463
12,0.0010000000474974513,0.028939837589859962,0.11934755742549896,0.021014364436268806,0.10751137882471085
13,0.0010000000474974513,0.022909438237547874,0.10181739181280136,0.021160230040550232,0.1072910726070404
14,0.0010000000474974513,0.019562050700187683,0.09084389358758926,0.021800559014081955,0.1090959683060646
15,0.0010000000474974513,0.01792345754802227,0.08489828556776047,0.021790774539113045,0.10946770012378693
16,0.0010000000474974513,0.01710839755833149,0.08188619464635849,0.021761804819107056,0.10891808569431305
17,0.0010000000474974513,0.016658272594213486,0.08030927926301956,0.021341275423765182,0.10826627165079117
18,0.0010000000474974513,0.016340406611561775,0.07929826527833939,0.02334713563323021,0.11357630044221878
19,0.0010000000474974513,0.01608661189675331,0.07859892398118973,0.02292366325855255,0.11208325624465942
20,0.0010000000474974513,0.015819208696484566,0.07807692140340805,0.02211114764213562,0.11020718514919281
21,0.0010000000474974513,0.015592886134982109,0.07766547799110413,0.021492723375558853,0.10805293172597885
22,0.0010000000474974513,0.015336639247834682,0.07709556072950363,0.02112397365272045,0.10705156624317169
23,0.0010000000474974513,0.015260322019457817,0.07710922509431839,0.021055536344647408,0.10766980797052383
24,0.0010000000474974513,0.015039794147014618,0.0768042653799057,0.021886171773076057,0.10898224264383316
25,0.0005000000237487257,0.01413336768746376,0.07463503628969193,0.0218549482524395,0.10854477435350418
26,0.0005000000237487257,0.013736127875745296,0.07438720762729645,0.022190729156136513,0.10919655114412308
27,0.0005000000237487257,0.013785026967525482,0.07451216131448746,0.021592076867818832,0.10782639682292938
28,0.0005000000237487257,0.013339174911379814,0.07395133376121521,0.021982835605740547,0.1089591234922409
29,0.0005000000237487257,0.01323848869651556,0.0741700604557991,0.021063514053821564,0.10615746676921844
30,0.0005000000237487257,0.013500800356268883,0.0742846131324768,0.02110247127711773,0.10568226128816605
31,0.0005000000237487257,0.013511600904166698,0.07453421503305435,0.02287112921476364,0.11010289192199707
32,0.0005000000237487257,0.01305659580975771,0.07383082807064056,0.022071540355682373,0.1088855043053627
33,0.0005000000237487257,0.013182670809328556,0.07453756034374237,0.021910343319177628,0.10769261419773102
34,0.0005000000237487257,0.012984950095415115,0.07395961880683899,0.022029412910342216,0.10812078416347504
35,0.0005000000237487257,0.012844981625676155,0.0740564838051796,0.0221224557608366,0.10804615914821625
36,0.0005000000237487257,0.012652000412344933,0.0737658143043518,0.021193774417042732,0.10611100494861603
37,0.0005000000237487257,0.012726247310638428,0.07361479848623276,0.021480102092027664,0.10668542981147766
38,0.0005000000237487257,0.012396720238029957,0.07327896356582642,0.021347174420952797,0.10691762715578079
39,0.0005000000237487257,0.012434074655175209,0.07334055006504059,0.021517276763916016,0.10754010081291199
40,0.0005000000237487257,0.012366244569420815,0.0737079307436943,0.018038371577858925,0.10029912739992142
41,0.0005000000237487257,0.012443292886018753,0.07411476969718933,0.018310492858290672,0.10014970600605011
42,0.0005000000237487257,0.012354523874819279,0.07352989166975021,0.020375382155179977,0.10473402589559555
43,0.0005000000237487257,0.012102440930902958,0.07316464185714722,0.0204596146941185,0.10471721738576889
44,0.0005000000237487257,0.011624173261225224,0.07283321022987366,0.02152572199702263,0.1082669049501419
45,0.0005000000237487257,0.012033176608383656,0.07396053522825241,0.02006162516772747,0.10389299690723419
46,0.0005000000237487257,0.011995715089142323,0.07315044850111008,0.021281195804476738,0.10648075491189957
47,0.0005000000237487257,0.01167331263422966,0.07294844835996628,0.02016277424991131,0.1039975956082344
48,0.0005000000237487257,0.012085947208106518,0.07345332205295563,0.019164850935339928,0.10233044624328613
49,0.0005000000237487257,0.011519665829837322,0.07275846600532532,0.019869467243552208,0.10394752025604248
50,0.0005000000237487257,0.011450028046965599,0.0725572258234024,0.01973647065460682,0.10315912961959839
51,0.0005000000237487257,0.0118099981918931,0.07295064628124237,0.020975273102521896,0.1063118427991867
52,0.0005000000237487257,0.011707130819559097,0.07340209931135178,0.019137628376483917,0.10288123786449432
53,0.0005000000237487257,0.011770060285925865,0.0730595663189888,0.02028825134038925,0.10482960939407349
54,0.0005000000237487257,0.011515568941831589,0.07238499820232391,0.020201731473207474,0.10517004132270813
55,0.0005000000237487257,0.011797432787716389,0.07315824925899506,0.020839858800172806,0.1058349609375
56,0.0005000000237487257,0.01149857509881258,0.07217516005039215,0.019762616604566574,0.10360006242990494
57,0.0005000000237487257,0.011376388370990753,0.07244336605072021,0.01939374767243862,0.10251454263925552
58,0.0005000000237487257,0.011465500108897686,0.07245603948831558,0.020008590072393417,0.10399066656827927
59,0.0002500000118743628,0.010936596430838108,0.07107178121805191,0.0203812625259161,0.10499726235866547
60,0.0002500000118743628,0.010715438984334469,0.07059182226657867,0.0208086296916008,0.1060875952243805
61,0.0002500000118743628,0.010543683543801308,0.070353664457798,0.02024270035326481,0.10458448529243469
62,0.0002500000118743628,0.01040885504335165,0.07027056068181992,0.019862139597535133,0.10419989377260208
63,0.0002500000118743628,0.010735496878623962,0.0702812597155571,0.020332062616944313,0.10494139045476913
64,0.0002500000118743628,0.01056391466408968,0.07026343792676926,0.019742393866181374,0.10371916741132736
65,0.0002500000118743628,0.010536069050431252,0.0703507512807846,0.020169198513031006,0.10468050837516785
66,0.0002500000118743628,0.010361065156757832,0.07009918987751007,0.019962094724178314,0.1041882187128067
67,0.0002500000118743628,0.010418415069580078,0.07002002745866776,0.020149262621998787,0.10468282550573349
68,0.0002500000118743628,0.010253218933939934,0.06991305202245712,0.019858362153172493,0.10393273830413818
69,0.0002500000118743628,0.010293190367519855,0.06982910633087158,0.020250001922249794,0.10486042499542236
70,0.0002500000118743628,0.010310747660696507,0.06979938596487045,0.020096560940146446,0.10469014197587967
71,0.0002500000118743628,0.010329553857445717,0.069941945374012,0.020057281479239464,0.10450219362974167
72,0.0002500000118743628,0.01026114821434021,0.06980864703655243,0.020248448476195335,0.10486797243356705
73,0.0002500000118743628,0.010143582709133625,0.06964817643165588,0.01996784657239914,0.1041930615901947
74,0.0002500000118743628,0.01019055675715208,0.06965991109609604,0.01979830116033554,0.10401226580142975
75,0.0002500000118743628,0.01012362726032734,0.06976551562547684,0.01983173005282879,0.10369647294282913
76,0.0002500000118743628,0.010104216635227203,0.06978186219930649,0.020165788009762764,0.10440550744533539
77,0.0001250000059371814,0.009952167980372906,0.06910288333892822,0.019870320335030556,0.10388445109128952
78,0.0001250000059371814,0.009685478173196316,0.06882024556398392,0.020054232329130173,0.10435578227043152
79,0.0001250000059371814,0.00975971482694149,0.06887631118297577,0.019813474267721176,0.10391727834939957
80,0.0001250000059371814,0.009674849919974804,0.06879439949989319,0.019971493631601334,0.10448295623064041
81,0.0001250000059371814,0.009632793255150318,0.06869008392095566,0.01942494884133339,0.103053517639637
82,0.0001250000059371814,0.009662708267569542,0.06870236247777939,0.01983998343348503,0.10376551747322083
83,0.0001250000059371814,0.009610979817807674,0.06865773350000381,0.020004548132419586,0.10418041795492172
84,0.0001250000059371814,0.009541593492031097,0.06864231824874878,0.019754117354750633,0.10386285930871964
85,0.0001250000059371814,0.009503381326794624,0.06855522096157074,0.01963214948773384,0.10362666845321655
86,0.0001250000059371814,0.009594334289431572,0.06856534630060196,0.019781120121479034,0.10388469696044922
87,0.0001250000059371814,0.00943055097013712,0.06844211369752884,0.01962476223707199,0.10357823967933655
88,0.0001250000059371814,0.009457124397158623,0.06853802502155304,0.01960667222738266,0.10347377508878708
89,0.0001250000059371814,0.009344136342406273,0.06842292845249176,0.019910797476768494,0.10429589450359344
90,0.0001250000059371814,0.009394235908985138,0.06833407282829285,0.0199015811085701,0.10425392538309097
